Airline,Origin,mean
Air Wisconsin Airlines Corp,ABE,16.51047120418848
Air Wisconsin Airlines Corp,ALB,13.04564315352697
Air Wisconsin Airlines Corp,ATW,15.345035655512891
Air Wisconsin Airlines Corp,AVP,16.242105263157896
Air Wisconsin Airlines Corp,AZO,16.455543358946212
Air Wisconsin Airlines Corp,BDL,16.0
Air Wisconsin Airlines Corp,BHM,16.46470588235294
Air Wisconsin Airlines Corp,BIS,19.384615384615383
Air Wisconsin Airlines Corp,BNA,18.152941176470588
Air Wisconsin Airlines Corp,BTV,15.883534136546185
Air Wisconsin Airlines Corp,BUF,14.47635135135135
Air Wisconsin Airlines Corp,CAE,16.089916506101478
Air Wisconsin Airlines Corp,CAK,18.2046004842615
Air Wisconsin Airlines Corp,CHA,16.384328358208954
Air Wisconsin Airlines Corp,CHO,13.75840145322434
Air Wisconsin Airlines Corp,CHS,13.811965811965813
Air Wisconsin Airlines Corp,CID,13.825159914712154
Air Wisconsin Airlines Corp,CLE,14.890243902439025
Air Wisconsin Airlines Corp,CMH,15.994126284875184
Air Wisconsin Airlines Corp,CMI,12.696629213483146
Air Wisconsin Airlines Corp,COU,17.793587174348698
Air Wisconsin Airlines Corp,CRW,18.454124189063947
Air Wisconsin Airlines Corp,CVG,18.568181818181817
Air Wisconsin Airlines Corp,CWA,13.493624772313296
Air Wisconsin Airlines Corp,DAY,19.386022514071296
Air Wisconsin Airlines Corp,DEN,21.553086419753086
Air Wisconsin Airlines Corp,DSM,15.737569060773481
Air Wisconsin Airlines Corp,ERI,18.685050798258345
Air Wisconsin Airlines Corp,EVV,17.964408725602755
Air Wisconsin Airlines Corp,EWR,37.0
Air Wisconsin Airlines Corp,FAR,19.336021505376344
Air Wisconsin Airlines Corp,FAY,14.63223787167449
Air Wisconsin Airlines Corp,FNT,14.795774647887324
Air Wisconsin Airlines Corp,FSD,20.383735705209656
Air Wisconsin Airlines Corp,GRB,12.907542579075425
Air Wisconsin Airlines Corp,GRR,15.327445652173912
Air Wisconsin Airlines Corp,GSO,17.194334277620396
Air Wisconsin Airlines Corp,GSP,15.964671246319922
Air Wisconsin Airlines Corp,HPN,18.29049676025918
Air Wisconsin Airlines Corp,HSV,14.166900420757363
Air Wisconsin Airlines Corp,IAD,23.131458469587965
Air Wisconsin Airlines Corp,ICT,15.506535947712418
Air Wisconsin Airlines Corp,ILM,12.919959473150962
Air Wisconsin Airlines Corp,IND,15.554733727810651
Air Wisconsin Airlines Corp,JAN,13.017582417582418
Air Wisconsin Airlines Corp,JAX,13.859649122807017
Air Wisconsin Airlines Corp,LAN,16.06192660550459
Air Wisconsin Airlines Corp,LEX,17.47107438016529
Air Wisconsin Airlines Corp,LIT,14.864035087719298
Air Wisconsin Airlines Corp,LNK,14.856812933025404
