Airline,Dest,mean
Air Wisconsin Airlines Corp,ABE,5.329842931937173
Air Wisconsin Airlines Corp,ALB,3.9591836734693877
Air Wisconsin Airlines Corp,ATW,5.771523178807947
Air Wisconsin Airlines Corp,AVP,3.984536082474227
Air Wisconsin Airlines Corp,AZO,3.664088397790055
Air Wisconsin Airlines Corp,BDL,7.0
Air Wisconsin Airlines Corp,BHM,5.268156424581005
Air Wisconsin Airlines Corp,BIS,5.888888888888889
Air Wisconsin Airlines Corp,BNA,8.044925124792014
Air Wisconsin Airlines Corp,BTV,4.862903225806452
Air Wisconsin Airlines Corp,BUF,4.767676767676767
Air Wisconsin Airlines Corp,CAE,4.528994845360825
Air Wisconsin Airlines Corp,CAK,5.123337363966143
Air Wisconsin Airlines Corp,CHA,4.793357933579336
Air Wisconsin Airlines Corp,CHO,4.34940855323021
Air Wisconsin Airlines Corp,CHS,6.0508474576271185
Air Wisconsin Airlines Corp,CID,5.110638297872341
Air Wisconsin Airlines Corp,CLE,6.392857142857143
Air Wisconsin Airlines Corp,CMH,5.771470160116448
Air Wisconsin Airlines Corp,CMI,4.131868131868132
Air Wisconsin Airlines Corp,COU,3.9275653923541247
Air Wisconsin Airlines Corp,CRW,5.208294930875576
Air Wisconsin Airlines Corp,CVG,7.954545454545454
Air Wisconsin Airlines Corp,CWA,3.5137614678899083
Air Wisconsin Airlines Corp,DAY,5.540463795551349
Air Wisconsin Airlines Corp,DEN,11.867321867321868
Air Wisconsin Airlines Corp,DSM,5.008264462809917
Air Wisconsin Airlines Corp,ERI,3.7950937950937953
Air Wisconsin Airlines Corp,EVV,4.05125284738041
Air Wisconsin Airlines Corp,EWR,10.0
Air Wisconsin Airlines Corp,FAR,5.910526315789474
Air Wisconsin Airlines Corp,FAY,5.131455399061033
Air Wisconsin Airlines Corp,FNT,4.44392523364486
Air Wisconsin Airlines Corp,FSD,5.9225967540574285
Air Wisconsin Airlines Corp,GRB,3.8802902055622734
Air Wisconsin Airlines Corp,GRR,4.282432432432432
Air Wisconsin Airlines Corp,GSO,6.522791221159257
Air Wisconsin Airlines Corp,GSP,4.345063538611925
Air Wisconsin Airlines Corp,HPN,5.026939655172414
Air Wisconsin Airlines Corp,HSV,5.811797752808989
Air Wisconsin Airlines Corp,IAD,6.547244094488189
Air Wisconsin Airlines Corp,ICT,3.898026315789474
Air Wisconsin Airlines Corp,ILM,4.191339375629406
Air Wisconsin Airlines Corp,IND,5.5683823529411764
Air Wisconsin Airlines Corp,JAN,4.680616740088106
Air Wisconsin Airlines Corp,JAX,6.344827586206897
Air Wisconsin Airlines Corp,LAN,4.020361990950226
Air Wisconsin Airlines Corp,LEX,4.096707818930041
Air Wisconsin Airlines Corp,LIT,6.939655172413793
Air Wisconsin Airlines Corp,LNK,4.1871412169919635
Air Wisconsin Airlines Corp,MCI,4.730769230769231
Air Wisconsin Airlines Corp,MDT,4.091383812010444
Air Wisconsin Airlines Corp,MHT,5.168067226890757
Air Wisconsin Airlines Corp,MKE,6.536516853932584
Air Wisconsin Airlines Corp,MLI,4.666666666666667
Air Wisconsin Airlines Corp,MSN,4.418269230769231
